DataType	YYYY	MM	DD	HH	mm	ss	NOAA	UmbraArea	WholeSpotArea	CorrectedUmbraArea	CorrectedWholeSpotArea	Latitude	Longitude	LongitudinalDistance	PositionAngle	DistanceFromCentre	JulianDay	Longitude*Area	Latitude*Area	PositionOnDisk	CarringtonRotation
g	2015	4	27	6	50	58	12332m	0	3	0	2	-4.32	328.91	9.61	271.19	0.1673	2457139.7853935184	657.82	-8.64	0.5533888888888889	2163
g	2015	4	28	10	58	43	12332m	0	6	0	4	-11.05	289.32	-14.5	125.31	0.3278	2457140.957442129	1157.28	-44.2	0.4194444444444445	2163
g	2015	5	2	6	15	10	12332m	0	3	0	2	-5.09	262.34	8.75	263.11	0.1534	2457144.760532408	524.68	-10.18	0.5486111111111112	2163
g	2015	5	6	6	7	45	12334m	0	5	0	4	-28.23	221.64	20.88	216.93	0.5278	2457148.7553819446	886.56	-112.92	0.616	2163
g	2015	5	7	6	7	10	12334m	0	3	0	2	-28.75	182.78	-4.74	170.33	0.4336	2457149.754976852	365.56	-57.5	0.4736666666666667	2163
g	2015	5	9	6	54	37	12334m	0	7	0	4	-29.5	182.56	21.96	216.22	0.5529999999999999	2457151.787928241	730.24	-118.0	0.622	2163
g	2015	5	10	8	24	42	12334m	0	2	0	1	-32.29	163.48	16.87	206.7	0.5479999999999999	2457152.850486111	163.48	-32.29	0.5937222222222223	2163
g	2015	6	22	6	37	20	12369p	0	3	0	2	18.35	327.19	28.57	302.41	0.5397	2457195.775925926	654.38	36.7	0.6587222222222222	2165
g	2015	6	20	12	16	47	12369p	0	8	0	4	6.68	315.99	-5.98	49.45	0.1367	2457194.0116550927	1263.96	26.72	0.4667777777777778	2165
g	2015	6	23	8	3	45	12369p	0	2	0	1	22.61	310.42	25.83	311.52	0.5393	2457196.8359375	310.42	22.61	0.6435	2165
g	2015	6	18	13	29	53	12369p	0	7	0	4	18.6	325.84	-21.97	49.99	0.465	2457192.0624189815	1303.36	74.4	0.3779444444444445	2165
g	2015	7	11	7	29	51	12388	0	8	0	4	14.37	23.04	-23.62	64.36	0.4333	2457214.812395833	92.16	57.48	0.36877777777777776	2165
g	2015	7	12	5	54	45	12388	0	25	0	13	17.71	22.62	-11.66	38.88	0.3079	2457215.746354167	294.06	230.23	0.43522222222222223	2165
g	2015	7	10	6	9	21	12388	0	10	0	7	16.51	23.02	-37.61	68.28	0.6322	2457213.7564930557	161.14	115.57	0.2910555555555556	2165
g	2015	7	13	1	10	0	12388	0	18	0	9	15.94	23.4	-0.28	1.29	0.2053	2457216.548611111	210.6	143.46	0.4984444444444444	2165
g	2015	7	14	7	18	22	12388	0	10	0	5	19.25	23.61	16.55	314.28	0.3773	2457217.8044212963	118.05	96.25	0.5919444444444444	2165
g	2015	7	15	6	7	56	12388	1	8	1	5	9.12	23.51	29.04	280.99	0.4906	2457218.755509259	117.55	45.6	0.6613333333333333	2166
g	2015	7	16	10	52	34	12388	12	47	9	35	10.43	23.96	45.33	280.24	0.7139	2457219.953171296	838.6	365.05	0.7518333333333332	2166
g	2015	7	17	6	14	30	12388	4	18	4	16	11.81	24.34	56.36	281.18	0.8331	2457220.7600694443	389.44	188.96	0.8131111111111112	2166
g	2015	7	18	6	12	7	12388	4	11	5	18	12.72	25.11	70.37	281.88	0.94	2457221.758414352	451.98	228.96	0.8909444444444444	2166
g	2015	8	4	6	8	40	12391m	0	15	0	8	17.68	119.94	30.11	294.44	0.527	2457238.7560185185	959.52	141.44	0.6672777777777777	2166
g	2015	8	3	8	28	45	12391m	0	24	0	14	17.06	126.78	25.01	300.66	0.4544	2457237.853298611	1774.92	238.84	0.6389444444444444	2166
g	2015	8	2	8	48	40	12391m	1	54	0	30	13.34	140.06	25.19	292.55	0.4462	2457236.867129629	4201.8	400.2	0.6399444444444444	2166
g	2015	8	1	7	22	48	12391m	0	32	0	16	15.79	135.91	7.03	325.87	0.2111	2457235.8075	2174.56	252.64	0.5390555555555555	2166
g	2015	7	31	12	13	36	12391m	0	50	0	27	18.26	131.22	-8.22	32.0	0.2573	2457235.0094444444	3542.94	493.02	0.4543333333333334	2166
g	2015	8	6	6	5	11	12391m	0	4	0	11	15.11	143.49	80.03	284.24	0.9819	2457240.753599537	1578.39	166.20999999999995	0.9446111111111112	2166
g	2015	7	29	7	0	0	12391m	0	33	0	19	14.72	137.17	-31.6	67.45	0.5329999999999999	2457232.791666666	2606.23	279.68	0.3244444444444444	2166
g	2015	7	28	15	11	4	12391m	0	22	0	12	12.97	151.29	-26.2	70.59	0.4505	2457232.1326851854	1815.48	155.64	0.35444444444444445	2166
g	2015	7	27	14	54	56	12391m	0	11	0	7	12.22	153.85	-37.02	75.49	0.5998	2457231.1214814815	1076.95	85.54	0.2943333333333333	2166
g	2015	7	30	12	3	47	12391m	0	36	0	20	12.11	143.37	-9.38	54.55	0.1967	2457234.002627315	2867.4	242.2	0.4478888888888889	2166
g	2015	8	30	6	3	4	12403w	0	5	0	2	16.28	120.45	14.11	304.75	0.2861	2457264.7521296297	240.9	32.56	0.5783888888888888	2167
g	2015	8	31	6	30	47	12403w	0	1	0	1	23.54	113.86	20.98	311.4	0.4394	2457265.771377315	113.86	23.54	0.6165555555555555	2167
g	2015	8	29	6	15	43	12403w	0	23	0	12	15.93	124.62	5.25	330.0	0.1773	2457263.760914352	1495.44	191.16	0.5291666666666667	2167
g	2015	8	28	6	44	20	12403w	0	9	0	5	16.61	145.1	12.72	308.95	0.27899999999999997	2457262.7807870368	725.5	83.05	0.5706666666666667	2167
g	2015	8	26	6	50	5	12403w	0	18	0	10	13.65	137.04	-21.68	68.17	0.3797	2457260.7847800925	1370.4	136.5	0.3795555555555555	2167
g	2015	8	25	6	23	44	12403w	0	30	0	16	14.97	155.42	-16.78	58.64	0.3121	2457259.766481481	2486.72	239.52	0.4067777777777778	2167
g	2015	8	27	6	42	54	12403w	0	26	0	13	14.85	145.29	-0.26	1.89	0.1352	2457261.7797916667	1888.77	193.05	0.4985555555555555	2167
g	2015	8	29	6	15	43	12406o	0	3	0	2	7.88	82.43	-36.94	86.38	0.5987	2457263.760914352	164.86	15.76	0.2947777777777778	2167
g	2015	9	1	11	13	51	12406o	0	7	0	3	18.36	74.88	-2.13	10.38	0.19699999999999998	2457266.967951389	224.64	55.08	0.4881666666666667	2167
g	2015	9	2	10	22	25	12406o	0	11	0	6	8.84	82.8	18.53	276.24	0.3174	2457267.9322337965	496.8	53.04	0.6029444444444445	2167
g	2015	9	4	14	3	30	12406o	0	4	0	2	14.02	55.39	19.56	291.09	0.3497	2457270.085763889	110.78	28.04	0.6086666666666667	2167
g	1978	8	15	15	43	33	1242	0	2	0	1	26.0	158.42	50.83	297.93	0.7909999999999999	2443736.1552430554	158.42	26.0	0.7823888888888888	1671
g	1978	8	11	10	43	44	1242	13	65	7	32	17.0	176.73	13.51	309.63	0.2918	2443731.947037037	5655.36	544.0	0.5750555555555555	1671
g	1978	8	8	10	10	20	1242	0	18	0	12	19.82	168.74	-34.49	64.66	0.5859	2443728.9238425926	2024.88	237.84	0.3083888888888889	1671
g	1978	8	7	11	45	44	1242	0	6	0	5	18.05	173.07	-42.47	70.24	0.6836	2443727.9900925932	865.3499999999998	90.25	0.26405555555555554	1671
g	1978	8	5	9	5	17	1242	0	6	0	11	18.43	168.93	-74.52	72.54	0.9597	2443725.8786689816	1858.23	202.73	0.08600000000000002	1671
g	1978	8	6	9	43	17	1242	1	8	1	7	18.04	171.0	-58.88	72.58	0.8526	2443726.9050578703	1197.0	126.28	0.17288888888888887	1671
g	1978	8	14	8	22	11	1242	0	9	0	7	20.21	169.29	44.39	293.05	0.7148	2443734.848738426	1185.03	141.47	0.7466111111111109	1671
g	1978	8	16	9	36	9	1242	0	2	0	2	26.81	164.52	66.76	296.39	0.9172	2443736.9001041665	329.04	53.62	0.8708888888888888	1671
g	1978	8	13	11	4	22	1242	4	33	2	23	18.12	172.07	35.46	294.44	0.6134	2443733.9613657407	3957.61	416.7600000000001	0.6970000000000001	1671
g	1978	8	10	10	24	10	1242	10	65	5	30	16.24	176.74	0.16	359.08	0.171	2443730.933449074	5302.200000000002	487.19999999999993	0.5008888888888888	1671
g	1978	8	9	10	32	46	1242	0	14	0	5	18.24	173.52	-16.25	51.58	0.3399	2443729.939421296	867.6	91.2	0.4097222222222222	1671
